titulo,descripcion,precio,estado,imagen,categoria
amplificador malibu 17,,2800,,imagenes/ampli malibu 2017.jpg,amplificadores
alternador para versa 20-22,,3000,,imagenes/116.jpg,alternadores
bcm aveo 2020,,2000,,imagenes/BCM aveo 2020.jpg,modulos
bisel consola central sentra 14-19,,750,,imagenes/bisel consola central sentra 2019.jpg,biseles
bisel cromo cajuela sentra 19,,1000,,imagenes/bisel cajuela sentra 2019.jpg,biseles
bisel estereo sentra 14-19,,550,,imagenes/bisel estereo sentra 2019.jpg,biseles
bisel interior calavera camaro 10-13 LH,,500,,imagenes/42.jpg,biseles
boton encendido sentra 2019,,1100,,imagenes/boton de encendido de sentra 2019.jpg,botones
calavera 200 11-14 LH,,1730,,imagenes/96.jpg,calaveras
calavera 200 11-14 RH,,1700,,imagenes/95.jpg,calaveras
calavera 300 08 LH,,1500,,imagenes/99.jpg,calaveras
calavera 300 08 RH,,1500,,imagenes/100.jpg,calaveras
calavera accent attitude 12-14 LH,,768,vendida,imagenes/118.jpg,calaveras
calavera accord 03-05 LH,,800,,imagenes/calaveras,calaveras
calavera audi A3 17-20 LH,,1500,vendida,,calaveras
calavera avenger 08-11 LH,,1600,,imagenes/97.jpg,calaveras
calavera avenger 08-11 RH,,1600,,imagenes/98.jpg,calaveras
calavera aveo 12-18 RH,,1300,,imagenes/104.jpg,calaveras
calavera camry 07-09 LH,,1200,,imagenes/calaveras,calaveras
calavera cruze 2010-2016 RH,,1100,,imagenes/15.jpg,calaveras
titulo,descripcion,precio,estado,imagen,categoria
calavera de march 14-20 RH,,800,,,calaveras
calavera escape 13-16 LH,,2100,,,calaveras
calavera escape 13-16 RH,,2100,,,calaveras
calavera exterior camaro 10-13 LH,,999,,,calaveras
calavera fiesta 11-13 LH,,1800,,imagenes/64.jpg,calaveras
calavera fiesta 11-13 RH,,1800,,imagenes/65.jpg,calaveras
calavera focus 12-13 RH,,1400,,imagenes/18.jpg,calaveras
calavera fusion 13-16 LH,,1500,,,calaveras
calavera fusion RH 13-16,,1600,,imagenes/calavera copiloto fusion 2013 2016.jpg,calaveras
calavera ignis 18-20 LH,,1500,,imagenes/calavera suzuki ignis 2018.jpg,calaveras
calavera ikon 05-07 LH,,900,,,calaveras
calavera interior camaro 10-13 LH,,999,,,calaveras
calavera LED optima 2011-2013 LH,,2000,vendida,imagenes/107.jpg,calaveras
calavera malibu 08-11 RH,,1200,,imagenes/17.jpg,calaveras
calavera malibu 17-19 LH,,1800,,,calaveras
calavera march 14-20 RH,,950,,imagenes/16.jpg,calaveras
calavera navigator 02 LH,,800,,,calaveras
calavera navigator 02 RH,,750,,,calaveras
calavera optima 11-13 LH,,2150,,,calaveras
calavera optra 06-10 RH,,900,,imagenes/66.jpg,calaveras
calavera pathfinder 05-10,,1848,,imagenes/106.jpg,calaveras
calavera sentra 04-06 RH,,750,,imagenes/117.jpg,calaveras
calavera sentra 13-16 RH,,1050,,,calaveras
calavera sentra 17-19 LH,,1050,vendida,,calaveras
calavera spark 13-17 RH,,700,,imagenes/151.jpg,calaveras
calavera tiida 07-17 RH,,750,,,calaveras
calavera town car 98-02 RH,,1100,,imagenes/calavera town car 2000.jpg,calaveras
calavera versa 12-18 RH,,980,,imagenes/14.jpg,calaveras
calavera yaris 10 LH,,1450,,imagenes/48.jpg,calaveras
camara reversa malibu 17-19,,1400,,imagenes/149.jpg,camaras
cluster escape 13-16,,2700,,imagenes/110.jpg,clusters y marcadores
cluster sentra 13,,2100,,imagenes/cluster sentra 2013.jpg,clusters y marcadores
cluster sentra 19,,1180,,imagenes/cluster sentra 2019.jpg,clusters y marcadores
cofre 300 11-14,,7880,,imagenes/129.jpg,cofres
compresor versa 20-22,,4250,,imagenes/115.jpg,compresores
control clima cx9 10-15,,1250,,imagenes/control clima cx9 2010.jpg,controles
control clima fusion 13-16,,1825,,imagenes/101.jpg,controles
control clima malibu 17-19,,1230,vendida,imagenes/109.jpg,controles
control clima sentra 13-16 gris,,1200,,imagenes/control clima sentra 2013.jpg,controles
titulo,descripcion,precio,estado,imagen,categoria
control clima sentra 14-19 negro,,1500,,imagenes/control clima sentra 2019.jpg,controles
control maestro malibu 17-19,,1250,,imagenes/111.jpg,controles
coraza audi a4 13-15,,1600,,imagenes/53.jpg,corazas y parrillas
coraza audi a5 15-17,,2500,,imagenes/51.jpg,corazas y parrillas
coraza beat 18-20 superior,,550,,imagenes/coraza beat 2020.jpg,corazas y parrillas
coraza caliber 07-11,,1180,,imagenes/89.jpg,corazas y parrillas
coraza camry 10,,1050,,imagenes/52.jpg,corazas y parrillas
coraza cheroke 05-10,,1700,,imagenes/74.jpg,corazas y parrillas
coraza fiat mobi 17-20,,980,,imagenes/70.jpg,corazas y parrillas
coraza frontier 17-19,,680,vendida,imagenes/88.jpg,corazas y parrillas
coraza fusion 10-12,,1300,,imagenes/39.jpg,corazas y parrillas
coraza ibiza 13-14,,900,,imagenes/69.jpg,corazas y parrillas
coraza jetta 15,,780,,imagenes/90.jpg,corazas y parrillas
coraza lincoln continental 98-02,,1200,,imagenes/36.jpg,corazas y parrillas
coraza march 14-20,,900,,imagenes/68.jpg,corazas y parrillas
coraza pathfinder 14,,2500,,imagenes/85.jpg,corazas y parrillas
coraza ranger 18,,1500,,imagenes/40.jpg,corazas y parrillas
coraza renault koleos 12-16,,1500,,imagenes/38.jpg,corazas y parrillas
coraza rodeo 98-99,,2000,,,corazas y parrillas
coraza x-trail 18-19,,2000,,imagenes/73.jpg,corazas y parrillas
espejo altima 07 LH,,400,,imagenes/49.jpg,espejos
espejo camry 07-11,,1000,,imagenes/43.jpg,espejos
espejo chev-gmc 2014,,1325,vendida,imagenes/122.jpg,espejos
espejo con camara versa 20-24 RH,,3600,vendida,imagenes/44.jpg,espejos
espejo fusion LH 13-16,,2460,,,espejos
espejo matiz 06-15 LH,,915,,imagenes/131.jpg,espejos
espejo ranger 05-09 LH,,750,,imagenes/132.jpg,espejos
esquinero bumper silverado 07-13 RH,,1300,,imagenes/47.jpg,facias y defensas
estereo sentra 13,,1800,,imagenes/estereo sentra 2013.jpg,estereos y pantallas
estereo sentra 19,,2500,,imagenes/estereo sentra 2019.jpg,estereos y pantallas
titulo,descripcion,precio,estado,imagen,categoria
titulo,descripcion,precio,estado,imagen,categoria
facia delantera camry le xle 07-09,,1300,,imagenes/30.jpg,facias y defensas
facia delantera corolla 17,,2000,,imagenes/28.jpg,facias y defensas
facia delantera corolla 20-22,,2400,,imagenes/29.jpg,facias y defensas
facia delantera honda city 17-20,,1600,,imagenes/35.jpg,facias y defensas
facia delantera march 14-20,,1400,,imagenes/27.jpg,facias y defensas
facia delantera mercedes amg cla 117 16-19,,7124,,imagenes/34.jpg,facias y defensas
facia delantera RAV4 06-08,,1500,,imagenes/32.jpg,facias y defensas
facia delantera spark 13-17,,1500,,imagenes/33.jpg,facias y defensas
facia delantera versa 20-22,,2500,,imagenes/31.jpg,facias y defensas
facia delantera escalade 15-20,,5000,vendida,imagenes/67.jpg,facias y defensas
facia trasera accent 12,,1850,,imagenes/25.jpg,facias y defensas
facia trasera mazda cx3 16-21,,2000,,,facias y defensas
facia trasera raize 22-25,,2500,,imagenes/26.jpg,facias y defensas
facia trasera spark 12,,880,,imagenes/24.jpg,facias y defensas
facia trasera versa 20-22,,1500,,imagenes/19.jpg,facias y defensas
faro a5 09-12 LH,,3000,,imagenes/faro audi a5 2010.jpg,faros
faro accent 18-22 LH,,1300,,imagenes/12.jpg,faros
faro audi Q5 13-17 RH,,2200,vendida,imagenes/139.jpg,faros
faro avanza 16-18 RH,,1900,,imagenes/2.jpg,faros
faro avanza 20 LH,,2200,vendida,,faros
faro avanza 20 LH,,2000,vendida,,faros
faro avanza 20 LH,,2100,vendida,,faros
faro avanza 20 RH,,2000,vendida,,faros
faro BMW series 3 16-17 LH,,3200,,imagenes/127.jpg,faros
faro BMW series 3 16-17 RH,,3200,,imagenes/138.jpg,faros
faro camry 10-11 RH,,1500,,imagenes/134.jpg,faros
faro camry 18-22 LH,,3500,,imagenes/72.jpg,faros
faro caravan 08-14 RH,,1300,,imagenes/faro caravan 2008 RH.jpg,faros
faro corolla 08-11 LH,,1250,,,faros
faro corolla 10 RH,,1220,,imagenes/147.jpg,faros
faro corolla 11-13 LH,,1250,,imagenes/1.jpg,faros
faro corolla 17-19 RH,,1500,,,faros
faro corolla 17-19 RH B,,2500,,imagenes/93.jpg,faros
faro corolla 20-22 LH,,2500,,imagenes/123.jpg,faros
faro creta 17-20 LH,,2400,,imagenes/faro izquierdo creta 2017.jpg,faros
faro cruze 10-16 LH,,1800,,imagenes/148.jpg,faros
faro cx5 18-21 LH,,3500,,imagenes/11.jpg,faros
faro de niebla corolla 13-17 RH,,800,,,faros
faro de niebla rubicon 18-25,,1800,,imagenes/54.jpg,faros
faro de niebla rubicon 18-25,,1800,,imagenes/55.jpg,faros
faro de niebla yaris 13-17 LH,,800,,,faros
faro de versa 20-22,,1350,,,faros
faro fiat 500 LH,,2170,,imagenes/94.jpg,faros
faro fiesta 2008-2010 RH,,950,,imagenes/133.jpg,faros
faro focus 12-14 RH,,1400,,imagenes/136.jpg,faros
faro focus ST 15-18 RH,,2430,,imagenes/137.jpg,faros
faro frontier 16-23 LH,,1800,,,faros
faro hilux 16-21 LH,,1100,,imagenes/13.jpg,faros
faro honda CRV 17-20 RH,,2100,,imagenes/9.jpg,faros
faro hyundai elantra 23 LH,,3800,vendida,,faros
faro ibiza 03-06 LH,,1300,,imagenes/128.jpg,faros
faro ibiza 12-14 RH,,1500,,imagenes/faro ibiza 2012 RH.jpg,faros
faro journey 2009-2017 LH,,1100,,,faros
faro kiks 21-22 LH,,2500,,imagenes/92.jpg,faros
faro march 21-24 RH,,1700,,imagenes/91.jpg,faros
faro niebla passat 01-05 RH,,1150,,,faros
faro para np300 RH,,608,,imagenes/102.jpg,faros
faro passat 06-09 LH,,3000,,imagenes/8.jpg,faros
faro passat 06-09 RH,,3000,,imagenes/faro derecho passat 2007.jpg,faros
faro pathfinder 05-08 LH,,1500,,imagenes/140.jpg,faros
faro prius 20-22 RH,,3000,,imagenes/3.jpg,faros
faro ram 700 15-17 LH,,700,,imagenes/84.jpg,faros
faro rav4 16-18 RH,,2550,,imagenes/10.jpg,faros
faro RAV4 19-21 LH,,3200,,imagenes/121.jpg,faros
faro redgeline 09-12 LH,,2100,,,faros
faro sentra 20-24 LH,,1750,,imagenes/124.jpg,faros
faro sierra 19-21 LH,,3725,,imagenes/120.jpg,faros
faro silverado 19-21 LH,,2460,,,faros
faro soul 20-22 RH,,1600,,imagenes/4.jpg,faros
faro sportage 11-15 LH,,2800,,imagenes/126.jpg,faros
faro tacoma 16-19 LH,,1900,,imagenes/6.jpg,faros
faro tacoma 16-19 RH,,2000,,imagenes/7.jpg,faros
faro tiida RH,,786,,imagenes/119.jpg,faros
faro tornado 11-20 RH,,2400,,imagenes/71.jpg,faros
faro transit 19-22 LH,,2700,,,faros
faro urvan 18-22 RH,,2300,,imagenes/5.jpg,faros
faro versa 20-22 LH,,1300,,,faros
faro versa 20-22 RH,,1000,,,faros
faro versa 20-24 LH,,1500,,,faros
faro x-trail 15-17 LH,,3000,,imagenes/86.jpg,faros
faro yaris 15-17 LH,,2000,,imagenes/125.jpg,faros
faro yaris 18-22 RH,,1695,,imagenes/105.jpg,faros
faros niebla accord 13-15,,1550,,imagenes/146.jpg,faros
fender bora RH,,1400,,imagenes/144.jpg,fenders
fender fiesta 11-19 LH,,1500,,imagenes/145.jpg,fenders
fender kangoo 09-18 RH,,1850,,imagenes/141.jpg,fenders
fender sentra 07-12 RH,,1240,,,fenders
fender sonic 12-17 LH,,1300,,imagenes/142.jpg,fenders
fender spark 16-20 LH,,1450,,imagenes/143.jpg,fenders
fender territory 2022 LH,,1700,,imagenes/75.jpg,fenders
titulo,descripcion,precio,estado,imagen,categoria
guia de facia transit 15-17 RH,,1500,,imagenes/63.jpg,otros
intercalavera escape 13-16 RH,,1450,,imagenes/104.jpg,intercalaveras
intercalavera escape 13-16 LH,,1450,,imagenes/103.jpg,intercalaveras
intercalavera fusion LH 12-16,,1000,,,intercalaveras
intercalavera malibu 17-19 RH,,1275,,imagenes/135.jpg,intercalaveras
intercalavera optima 11-13 RH,,1000,,imagenes/108.jpg,intercalaveras
intercalavera sentra 13-16 RH,,1000,,imagenes/150.jpg,intercalaveras
intercalavera sentra 17-19 LH,,900,,,intercalaveras
intercalavera versa 20-24 RH,,930,,,intercalaveras
kit bolsas de aire kwid 20,,9940,,imagenes/87.jpg,bolsas de aire
marcadores consola central camaro 10-15,,3300,,,clusters y marcadores
marcha versa 20-22,,1820,,imagenes/114.jpg,marchas
modulo de clima sentra 14-19,,1000,,imagenes/modulo de clima sentra 2019.jpg,modulos
pantalla versa 20-24,,3700,vendida,imagenes/113.jpg,estereos y pantallas
pantalla y modulo escape 13-16,,4950,,imagenes/112.jpg,estereos y pantallas
parrilla altima 16-17,,1500,,imagenes/56.jpg,corazas y parrillas
parrilla beat 18-20,,400,,imagenes/37.jpg,corazas y parrillas
parrilla cromada charger 2011-2014,,750,vendida,,corazas y parrillas
parrilla de versa 15-19,,500,,imagenes/57.jpg,corazas y parrillas
parrilla f150 94-96,,950,,imagenes/41.jpg,corazas y parrillas
parrilla fiesta 15-16,,1100,,imagenes/61.jpg,corazas y parrillas
parrilla inferior l200 18,,1000,,imagenes/59.jpg,corazas y parrillas
parrilla inferior Swift 14-17,,1200,vendida,imagenes/60.jpg,corazas y parrillas
parrilla inferior yaris 18-20,,1700,,imagenes/62.jpg,corazas y parrillas
parrilla partner 10,,1380,,imagenes/parrilla partner 10.jpg,corazas y parrillas
parrilla RAV4 19-22,,1100,,imagenes/58.jpg,corazas y parrillas
pedal acelerador sentra 13-19,,1100,,imagenes/46.jpg,otros
rejilla central de aire sentra 13-19,,1100,,imagenes/45.jpg,otros
rejilla derecha aire sentra 13-19,,690,,imagenes/50.jpg,otros
Rin escape 13-19 1,,3700,,imagenes/152.jpg,rines


